itemid,author_shopid,userid
5768638359,302204098,302223683
5768638359,296927945,296947298
5768638359,129133932,129135756
5768638359,568245,568466
5768638359,8925134,8926430
5768638359,378045813,378065390
5768638359,27505811,27507170
5768638359,118957582,118959406
5768638359,41725833,41727219
5768638359,214279511,214283250
5768638359,86005835,86007312
5768638359,35706031,35707415
5768638359,207531546,207534862
5768638359,99521672,99523150
5768638359,198456138,198459178
5768638359,38334398,38335783
5768638359,17982504,17983840
5768638359,223657550,223661825
5768638359,60534126,60535562
5768638359,336718051,336737626
5768638359,81943967,81945444
5768638359,622712063,622731648
5768638359,30471041,30472425
5768638359,78010714,78012186
5768638359,28740243,28741627
5768638359,28740243,28741627
5768638359,121488563,121490387
5768638359,38334398,38335783
5768638359,159067714,159069740
5768638359,6219899,6221207
5768638359,34714974,34716358
5768638359,4570696,4571986
5768638359,84375015,84376492
5768638359,34276498,34277882
5768638359,8725621,8726917
5768638359,24519326,24520662
5768638359,74277088,74278558
5768638359,881091,881699
5768638359,16761488,16762824
5768638359,90764618,90766096
5768638359,203679972,203683179
5768638359,68003538,68004995
5768638359,13715308,13716611
5768638359,51509665,51511053
5768638359,105107225,105108705
5768638359,316173184,316192783
5768638359,313899889,313919488
5768638359,44406758,44408144
5768638359,6736052,6737367
5768638359,26820676,26822012
7141167357,44114770,44116156
7141167357,17537468,17538804
7141167357,102170842,102172321
7141167357,240556492,240561980
7141167357,34104878,34106262
7141167357,20133545,20134881
7141167357,50831740,50833128
7141167357,122173434,122175258
7141167357,3123119,3124455
7141167357,717330,717811
7141167357,52658156,52659544
7141167357,55286944,55288368
7141167357,67579757,67581214
7141167357,25446669,25448004
7141167357,86521758,86523235
7141167357,92664151,92665629
7141167357,21476463,21477799
7141167357,70186633,70188093
7141167357,26998703,27000039
7141167357,17429735,17431071
7141167357,17732269,17733605
7141167357,123468777,123470601
7141167357,102114775,102116254
7141167357,85243050,85244527
7141167357,23992484,23993820
7141167357,7865474,7866769
7141167357,313048124,313067709
7141167357,89165644,89167122
7141167357,14839735,14841071
7141167357,216732263,216736131
7141167357,216732263,216736131
7141167357,31023988,31025372
7141167357,186663476,186666197
7141167357,684340,684779
7141167357,41381922,41383308
7141167357,287696260,287715399
7141167357,1202122,1203041
7141167357,51854302,51855690
7141167357,35506952,35508336
7141167357,116473498,116475322
7141167357,66607282,66608739
7141167357,43434389,43435775
7141167357,105309181,105310661
7141167357,35833364,35834748
7141167357,101741656,101743136
7141167357,236252180,236257297
7141167357,16874247,16875583
7141167357,43657487,43658873
7141167357,138897870,138899694
7141167357,163744164,163746319
6335232677,382250824,382270401
6335232677,172657435,172659863
6335232677,275552597,275557500
6335232677,262201714,262203819
6335232677,9709227,9710524
6335232677,32517137,32518521
6335232677,304004,304013
6335232677,14660516,14661821
6335232677,199804532,199807646
6335232677,212033876,212037501
6335232677,None,372660822
6335232677,79482480,79483954
6335232677,613527866,613547451
6335232677,26473647,26474983
6335232677,26451688,26453024
6335232677,226797137,226801567
6335232677,46815594,46816980
6335232677,4581236,4582526
6335232677,240024391,240029833
6335232677,80174069,80175543
6335232677,210703602,210707132
6335232677,90331231,90332709
6335232677,42992841,42994227
6335232677,272724848,272729197
6335232677,193216228,193219082
6335232677,55583713,55585137
6335232677,244111142,244116869
6335232677,197320423,197323407
6335232677,163266514,163268656
6335232677,47353450,47354836
6335232677,156345039,156346994
6335232677,156345039,156346994
6335232677,477732178,477751755
6335232677,45664966,45666352
6335232677,None,447340968
6335232677,93367153,93368631
6335232677,86583394,86584871
6335232677,50637938,50639326
6335232677,69723000,69724458
6335232677,26346814,26348151
6335232677,87022786,87024263
6335232677,1588989,1590162
6335232677,40945896,40947282
6335232677,93810416,93811894
6335232677,95259290,95260768
6335232677,215817564,215821388
6335232677,116871868,116873692
6335232677,57528758,57530183
